Characteristic,Category,Percentage of population age 0-4,Percentage of population age 5-9,Percentage of population age 10-14,Percentage of population age 15-19,Percentage of population age 20-24,Percentage of population age 25-29,Percentage of population age 30-34,Percentage of population age 35-39,Percentage of population age 40-44,Percentage of population age 45-49,Percentage of population age 50-54,Percentage of population age 55-59,Percentage of population age 60-64,Percentage of population age 65-69,Percentage of population age 70-74,Percentage of population age 75-79,Percentage of population age 80 +,Dependency age group 0-14,Dependency age group 15-64,Dependency age group 65+,Child population 0-17,Adult population 18+,Adolescents 10-19
  Niger,Total,19.1,17.5,12.1,8.2,7.1,9.05,6.6,6.1,3.85,2.3,2.5,1.5,1.25,1.1,0.55,0.5,0.6,48.7,48.5,2.8,53.45,46.55,20.3
  Niger,Male,18.4,17.5,13.1,8.5,5.7,6.9,6.9,6.9,4.1,2.7,2.2,1.5,1.8,1.5,0.7,0.6,0.9,49,47.3,3.8,54.4,45.6,21.6
  Niger,Female,19.8,17.5,11.1,7.9,8.5,11.2,6.3,5.3,3.6,1.9,2.8,1.5,0.7,0.7,0.4,0.4,0.3,48.4,49.7,1.8,52.5,47.5,19
  Plateau,Total,15.55,15.45,13.1,9.2,6.4,7.3,6.05,6.55,4.35,3.4,3.15,2.5,2.3,1.65,1.2,0.9,0.95,44.1,51.2,4.7,49.85,50.15,22.25
  Plateau,Male,15.3,15.1,14.3,9.3,5.3,6.8,6.2,6.8,5.1,3,2.5,2.3,2.8,1.6,1.5,1.1,0.9,44.7,50.1,5.2,50.5,49.5,23.5
  Plateau,Female,15.8,15.8,11.9,9.1,7.5,7.8,5.9,6.3,3.6,3.8,3.8,2.7,1.8,1.7,0.9,0.7,1,43.5,52.3,4.2,49.2,50.8,21
  Adamawa,Total,18.4,16.6,12.25,8.3,7.1,7.55,6.5,5.5,4.05,3.3,3.05,2,2.3,1.35,1.1,0.45,0.35,47.15,49.65,3.2,51.65,48.35,20.5
  Adamawa,Male,18.3,16.9,12.5,7.1,6.6,6.3,5.8,6.2,4.6,3.1,3.2,2,3,1.7,1.6,0.6,0.6,47.6,47.9,4.5,51.6,48.4,19.5
  Adamawa,Female,18.5,16.3,12,9.5,7.6,8.8,7.2,4.8,3.5,3.5,2.9,2,1.6,1,0.6,0.3,0.1,46.7,51.4,1.9,51.7,48.3,21.5
  Bauchi,Total,19.1,20.05,13.65,9.4,7.2,6.7,4.9,4.65,3.5,1.9,2.75,1.75,1.95,0.9,0.85,0.4,0.4,52.75,44.65,2.55,59,41,23
  Bauchi,Male,19.1,20.3,13.5,10.2,6.6,6.2,4.3,4.3,4.1,2.3,1.8,1.6,2.1,1.2,1.2,0.6,0.6,52.9,43.4,3.6,60,40,23.6
  Bauchi,Female,19.1,19.8,13.8,8.6,7.8,7.2,5.5,5,2.9,1.5,3.7,1.9,1.8,0.6,0.5,0.2,0.2,52.6,45.9,1.5,58,42,22.4
